window_id,project,video_id,video_filename,tester_name,task_title,task_instructions,start_time,end_time,duration,text,narration_type,at_context_present,friction_type,severity,sentiment,confidence,primary_evidence,secondary_friction_type,notes,annotator
ramazankawish_wa_w075,department-of-premier-and-cabinet-wa,ramazankawish_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ramazankawish.mp4,ramazankawish,,,5344.43,5414.24,69.81,"For general complaints and feedback about the Department of Communities. Whether you are here. OK. Um, I'm struggling to find the feedback page, to be honest. Do we have domestic violence here? No. Maybe I go to court safe. Control and put my feet back in there. I think at the end of each headline headings there is. Um, An option to put your feet back. No, actually it's not.",navigation,yes,F1 Navigation / Findability Issue,medium,negative,medium,"""I'm struggling to find the feedback page""",,Clear findability issue for feedback/complaints pathway.,R3
gameoverdan_suncorp_w040,suncorp-insurance,gameoverdan_suncorp,project_73052603-e4d8-4aed-a9ce-cc5db15e6355_gameoverdan.mp4,gameoverdan,,,2719.229,2782.55,63.321,"The homepage. I will say the homepage has done well so far. Uh, Do do do, no, nothing there. OK, so resources. Help center. I got a question. Cancel policy, no insurance. No, no, no, no. hm. Contact us. Ask a question. Yeah Uh OK, so we tried this before, that wasn't it? Um, have a question, give us a call, no, we're doing it online. Doing it online. Claim online.",navigation,no,F1 Navigation / Findability Issue,medium,negative,medium,"""no, we're doing it online. Doing it online. Claim online""",,Repeated navigation attempts suggest difficulty locating the online self-service option.,R3
Sharelinsonny_uq_w026,the-university-of-queensland,Sharelinsonny_uq,project_8aeb4cdb-106f-47c1-b6e6-867344ce673b_Sharelinsonny.mp4,Sharelinsonny,,,1818.13,1880.76,62.63,"So we can improve it based on your needs, personalized, your online experience with us, you use cookies for different reasons. Some cookies are necessary for technical reasons, while other cookies support things like Analytics or advertising and marketing activities, pixel codes are similar to cookies and a lot making of user action. Regarding Facebook pixel, you can manage your setting within your Facebook account. OK, that's good. Oh, OK. Mm. As I scroll through a section of all the the. It feels quite alone. Written in formal legal language, it's not very user-friendly, and I wouldn't realistically read all of it in detail, so.",feedback_evaluation,no,F2 Content Clarity Issue,medium,negative,medium,"""formal legal language, it's not very user-friendly""",,Clear content readability issue caused by legal language and length.,R3
oliviamitchell22_suncorp_w007,suncorp-insurance,oliviamitchell22_suncorp,project_73052603-e4d8-4aed-a9ce-cc5db15e6355_oliviamitchell22.mp4,oliviamitchell22,,,471.429,533.5,62.071,"Uh, what else is there? Third party car? What does that mean? Uh, motorcycle, nope. Motor, what's third party? I have no clue. Caravan insurance, that's not me. Home and contents, OK, I think that's what we were looking at, so, what this sort of project is looking at, so. Seems like there's a good discount there. AMI driving test, for promotion, Uh, weather, yep, nice. Um, oh, I do like when they have, um, reviews, I just feel like. They do speak to the experience. Uh, Seems like there's quite a good backing there. That's really nice.",thinking_aloud,no,F2 Content Clarity Issue,medium,mixed,medium,"""What does that mean? ... I have no clue""",,Insurance terminology clarity issue; positive trust signal from reviews is secondary.,R3
giuliaclemente26_uq_w050,the-university-of-queensland,giuliaclemente26_uq,project_8aeb4cdb-106f-47c1-b6e6-867344ce673b_giuliaclemente26.mp4,giuliaclemente26,,,3536.939,3597.3,60.361,"All right, now. Translate. So Google Authenticator. So I need to install something which is already a pain, but OK. Scan the QR code. And then insert. OK. Otherwise, he inserted this. OK, how, sorry, um, my, I come from a very direct culture. How is a person going to input something like this and remember where they were? Oh my God, OK, I hope I already have Google Authenticator for other reasons. Let me see. Authenticator.",feedback_evaluation,no,F3 Interaction / Control Issue,medium,negative,medium,"""I need to install something which is already a pain""",,MFA setup creates workflow burden and potential loss of context.,R3
reneerussell99_uq_w009,the-university-of-queensland,reneerussell99_uq,project_8aeb4cdb-106f-47c1-b6e6-867344ce673b_reneerussell99.mp4,reneerussell99,,,791.89,864.679,72.789,"You know, I'll press the register button and see what happens. OK, please answer the question citizenship status. I didn't see that, um. Let me just have another look back through. Oh, that's interesting, it's right up the top. OK, I was expecting that to be, um, where it's asking like, are you an Australian citizen, do you intend to apply for a student visa, OK, let me um. Let me answer this. Now I'll try and register again.",navigation,no,F3 Interaction / Control Issue,medium,mixed,medium,"""I didn't see that... I was expecting that to be""",,Form validation/field placement issue interrupts registration attempt.,R3
ghum_wa_w029,department-of-premier-and-cabinet-wa,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,,,2043.0,2103.35,60.35,"Um, and so there's some guidance on how to interact with the person. Who you're concerned about. We must, we must, room share toolbar, window, system dialogue, record to this computer. Safari, Safari, HTTPS College. Um, this might be quite a quick task, um, empty group. So I've clicked on the file, the, um, the PDF. Page one containing. And Empty group, page one containing in page one containing content page one containing empty group. Page one containing empty group. Page one containing page one containing out of my content, close button, page one containing. So. It's not the sort of file I would keep, um. Yeah, I've got no access to the the content in here at all. Uh, it might be something I could use an app on my phone to try and do some OCR. Um. Uh Let's see, Phil.",feedback_evaluation,yes,F4 Accessibility / Assistive Technology Issue,high,negative,medium,"""I've got no access to the content in here at all""",,Severe PDF accessibility issue; possible need for OCR or accessible PDF remediation.,R3
marychaunguyen_suncorp_w011,suncorp-insurance,marychaunguyen_suncorp,project_73052603-e4d8-4aed-a9ce-cc5db15e6355_marychaunguyen.mp4,marychaunguyen,,,825.169,905.89,80.721,"It can be more simple I guess for a homepage, simpler, um, maybe just listing main, um, insurance policies, like for example, home, car, business, etc. and then have all the drop-downs, there's just so much to go through, for someone who's doing, who's using a um voiceover, there's a lot to listen to, to go to where I need to get to, I guess, as a first time user, um, I guess if I went through headings it'd be it'd be different. Um, I can scroll through it quicker, I guess, um, but because I'm using, I'm just, I'm just going line by line at the moment here, that's just my feel at the moment if I'm if I'm reading it from top to bottom. Um, there's a couple of things that were a bit confusing, the scroll left, scroll or right, I don't know what that's used for. I pressed it, but nothing really happened, I don't know. I don't know what that's for, so that was a bit confusing there. Yeah, there's a lot of information, um, great that there's a lot of deals and stuff like that, which is great, maybe, you know, um, save, maybe have a banner at the top or something that's to say, yeah, you can save from $25 you know, if you go into whatever policies instead of having it listed out, um, each and every one on the main homepage. Um, other than that, yeah, it, to me, the feel is, there's a lot there.",feedback_evaluation,yes,F4 Accessibility / Assistive Technology Issue,high,mixed,medium,"""using a voiceover, there's a lot to listen to""",,Accessibility and information overload issue; secondary interaction issue with scroll controls.,R3
giuliaclemente26_uq_w004,the-university-of-queensland,giuliaclemente26_uq,project_8aeb4cdb-106f-47c1-b6e6-867344ce673b_giuliaclemente26.mp4,giuliaclemente26,,,277.529,341.51,63.981,"So Which one is this? Uh, it's leave me alone. OK, the thing that really bothers me is when They try and have you download things or input things that you haven't even had the time to look at the landing page, like, Get off my back, um. OK, so. This website at a glance looks. Can I say dodgy? Dodgy to me in the sense where it seems to me those online courses from providers that give, heaps of different courses, kind of boot camps, um, And there are not really.",feedback_evaluation,no,F5 Task Understanding / Expectation Mismatch,medium,negative,medium,"""download things or input things that you haven't even had the time to look at the landing page""",,Expectation mismatch and trust/credibility concern; tester describes the site as dodgy.,R3
margieflint_suncorp_w007,suncorp-insurance,margieflint_suncorp,project_73052603-e4d8-4aed-a9ce-cc5db15e6355_margieflint.mp4,margieflint,,,504.5,564.669,60.169,"Mhm. Virgin money wouldn't touch that. ING wouldn't touch that, don't know what that is. And then I still don't see NRMA on there, which is interesting. So that obviously didn't make the cheap list. OK. So that's, that's a pretty good website to find out. I guess it depends on what you're looking for in it of course. Um, so it's still back to the original Google page and I'm onto the second page of Google now and again, Honey Insurance is up again on the top. So they're pretty good at pushing there, and I don't know if I trust them. I've never heard of them. Um. Amy's home and contents are $50 off again. I select, well that's one of those comparison things. More compare, a lot of compares on this without having a lot of those um major insurance companies showing.",navigation,no,F6 Support / Trust / Safety Concern,medium,mixed,medium,"""I don't know if I trust them""",,Trust and credibility concern in search/comparison pathway; also findability concern around missing major insurers.,R3
