tester_name,submission_count,submission_count_scored,score,tier,direction,delta_first_to_last,submission_video_ids,submission_scores,submission_tiers,persistent_friction_types,sentiment_distribution,calibrator_aggregate_mismatch_count,projects,cross_check_lanes,ordering_basis
Sharelinsonny,3,3,61.7,Developing,declining,-10.0,"Sharelinsonny_wa,Sharelinsonny_suncorp,Sharelinsonny_uq","65.0,65.0,55.0","Developing,Developing,Developing","F1,F2,F6","{""E3"": 39, ""E4"": 57}",0,"department-of-premier-and-cabinet-wa,suncorp-insurance,the-university-of-queensland","with_overrides,with_overrides,raw_only",project_video_id_proxy
asma,2,2,76.3,Proficient,improving,22.6,"asma_suncorp,asma_uq","65.0,87.6","Developing,Leading","F1,F6","{""E3"": 2, ""E4"": 68}",0,"suncorp-insurance,the-university-of-queensland","with_overrides,raw_only",project_video_id_proxy
carlpatrickrobinson,2,2,69.8,Developing,declining,-29.7,"carlpatrickrobinson_suncorp,carlpatrickrobinson_uq","84.7,55.0","Proficient,Developing",F2,"{""E3"": 4, ""E4"": 10}",0,"suncorp-insurance,the-university-of-queensland","with_overrides,raw_only",project_video_id_proxy
fjone7,2,2,76.2,Proficient,declining,-22.3,"fjone7_suncorp,fjone7_uq","87.3,65.0","Leading,Developing","F1,F2","{""E3"": 24, ""E4"": 92}",0,"suncorp-insurance,the-university-of-queensland","with_overrides,raw_only",project_video_id_proxy
gameoverdan,2,2,60.0,Developing,declining,-10.0,"gameoverdan_suncorp,gameoverdan_uq","65.0,55.0","Developing,Developing",F3,"{""E3"": 4, ""E4"": 93, ""E5"": 5}",0,"suncorp-insurance,the-university-of-queensland","with_overrides,raw_only",project_video_id_proxy
ghum,3,3,55.0,Developing,stable,0.0,"ghum_wa,ghum_suncorp,ghum_uq","55.0,55.0,55.0","Developing,Developing,Developing","F1,F2,F3","{""E2"": 1, ""E3"": 56, ""E4"": 159}",0,"department-of-premier-and-cabinet-wa,suncorp-insurance,the-university-of-queensland","with_overrides,with_overrides,raw_only",project_video_id_proxy
giuliaclemente26,3,3,87.6,Leading,stable,0.1,"giuliaclemente26_wa,giuliaclemente26_suncorp,giuliaclemente26_uq","87.3,88.0,87.4","Leading,Leading,Leading","F1,F2","{""E3"": 39, ""E4"": 133}",0,"department-of-premier-and-cabinet-wa,suncorp-insurance,the-university-of-queensland","with_overrides,with_overrides,raw_only",project_video_id_proxy
gracieha22,3,3,84.9,Proficient,stable,-1.6,"gracieha22_wa,gracieha22_suncorp,gracieha22_uq","84.5,87.2,82.9","Proficient,Leading,Proficient","F1,F2,F5","{""E3"": 16, ""E4"": 20}",0,"department-of-premier-and-cabinet-wa,suncorp-insurance,the-university-of-queensland","with_overrides,with_overrides,raw_only",project_video_id_proxy
info,2,2,71.2,Proficient,declining,-32.3,"info_wa,info_suncorp","87.3,55.0","Leading,Developing",F2,"{""E3"": 28, ""E4"": 96}",0,"department-of-premier-and-cabinet-wa,suncorp-insurance","with_overrides,with_overrides",project_video_id_proxy
jenniferparry7,1,1,55.0,Developing,,,jenniferparry7_uq,55.0,Developing,,"{""E3"": 2, ""E4"": 6, ""E5"": 1}",0,the-university-of-queensland,raw_only,project_video_id_proxy
