window_id,project,video_id,task_title,text,task_instructions,annotated,finding,observed_signal,stated_signal,signal_alignment,friction_type,severity_s,sentiment_e,calibrator_score_l,rationale,structural_amplification_note,narration_quality,recording_quality,coaching_evidence,confidence,notes,annotator
ramazankawish_wa_w075,department-of-premier-and-cabinet-wa,ramazankawish_wa,Providing Feedback via the Website ,"For general complaints and feedback about the Department of Communities. Whether you are here. OK. Um, I'm struggling to find the feedback page, to be honest. Do we have domestic violence here? No. Maybe I go to court safe. Control and put my feet back in there. I think at the end of each headline headings there is. Um, An option to put your feet back. No, actually it's not.","**Please use fake data for this task**    **Objective**  This task evaluates how easy and accessible it is for members of the public to provide feedback on WA Government web content related to coercive control using the Department of Communities feedback and complaints form.    #### Task&#x20;    Open the page and look for where you might be able to provide feedback online about the information on coercive control.&#x20;    Once you locate the feedback form, begin the process of submitting feedback.    You do not need to provide real personal information. Please use **fake details** when completing the form (for example, submitting feedback from â€œDonald Duckâ€?.    When you reach the end of the process, explain whether you feel confident that your feedback would reach the right place and what could be improved to make the process easier.",yes,Participant could not locate the feedback page and navigated through unrelated sections before confirming it was not accessible from the headings.,"Participant navigated to unrelated sections (domestic violence, court safe) and checked page headings before concluding the feedback option was not present.","I'm struggling to find the feedback page, to be honest.",aligned,F6,S4,E4,L3,"Participant explicitly stated difficulty finding the feedback page and observed behaviour confirms multiple failed navigation attempts across unrelated sections. Both signals align at significant friction level. Matches L3 gate: struggle and multiple attempts, task not completed in this window.",,adequate,good,none,high,,R8
gameoverdan_suncorp_w040,suncorp-insurance,gameoverdan_suncorp,Equal Access to Critical  Information â€?Emergency Response Page ,"The homepage. I will say the homepage has done well so far. Uh, Do do do, no, nothing there. OK, so resources. Help center. I got a question. Cancel policy, no insurance. No, no, no, no. hm. Contact us. Ask a question. Yeah Uh OK, so we tried this before, that wasn't it? Um, have a question, give us a call, no, we're doing it online. Doing it online. Claim online.",Assume you are an existing customer who is anticipating an extreme weather event.&#x20;    You are expecting damage to your property and want to understand how AAMI supports customers who have been affected by an extreme weather event.Â     Please search for information you're interested in initially starting at the homepage. Only click the link to the specific page after you've tried to navigate information via the homepage first.&#x20;,yes,Participant could not locate the extreme weather support information from the homepage and navigated through multiple unrelated sections without success.,"Participant clicked through Resources, Help center, Cancel policy, Contact us, and Ask a question before landing on Claim online, none of which led to the target page.","We tried this before, that wasn't it.",aligned,F6,S5,E3,L2,"Participant navigated multiple unrelated sections without locating the target emergency response information. Stated signal confirms prior failed attempt. Tone remains matter-of-fact without strong frustration, and the homepage is praised at the start. Matches L2: hesitation and non-optimal path, task not yet completed but not abandoned.",,rich,good,none,medium,,R8
Sharelinsonny_uq_w026,the-university-of-queensland,Sharelinsonny_uq,Commence Enrolment - Register an Account,"So we can improve it based on your needs, personalized, your online experience with us, you use cookies for different reasons. Some cookies are necessary for technical reasons, while other cookies support things like Analytics or advertising and marketing activities, pixel codes are similar to cookies and a lot making of user action. Regarding Facebook pixel, you can manage your setting within your Facebook account. OK, that's good. Oh, OK. Mm. As I scroll through a section of all the the. It feels quite alone. Written in formal legal language, it's not very user-friendly, and I wouldn't realistically read all of it in detail, so.","### Objective    This task evaluates how easy it is for prospective postgraduate students to create an account, which is a required step before starting an application.    It explores whether participants can clearly understand what is required, access and interpret key information such as terms and conditions, and navigate the account creation process in an accessible and intuitive way.    ### Note    You will be interacting with a realistic version of the UQ account creation experience. It mirrors the real enrolment process, but it is a safe test environment created for research purposes.    Please use made up details when completing the form. Do not use your real name, email address or personal information.    This task finishes once you reach the screen that allows you to search for programs. The focus is only on account creation.    ### Real-World User Scenario    You have decided to enrol in a Master of Business at UQ. To begin the application process, you must first create an account.    Record your screen and talk through your experience after clicking the link below. You will need to commence this task by **Registering an Account**    * â€?Share your first impressions of the page. Is it clear what you need to do?    â€?Select a section of the terms and conditions as if you were genuinely considering reading them. Are they clear and easy to understand, or overwhelming? How could they be improved?    â€?Complete the account creation form using made up details.    â€?Explain whether the form is easy to understand and interact with. Highlight anything confusing, unclear or difficult to use.",yes,Participant found the terms and conditions written in formal legal language and concluded they were not user-friendly enough to read in full.,Participant scrolled through the terms and conditions section and paused without engaging deeply with the content.,"Written in formal legal language, it's not very user-friendly, and I wouldn't realistically read all of it in detail.",aligned,F1,S6,E3,L2,"Participant explicitly identified the terms and conditions as formally written and not user-friendly, leading them to skip detailed reading. Observed scrolling behaviour aligns with stated disengagement. No strong frustration expressed; tone is matter-of-fact. Matches L2: hesitation and non-optimal engagement, task not blocked.",,rich,good,none,high,,R8
oliviamitchell22_suncorp_w007,suncorp-insurance,oliviamitchell22_suncorp,Navigating AAMIâ€™s Insurance Service Offering,"Uh, what else is there? Third party car? What does that mean? Uh, motorcycle, nope. Motor, what's third party? I have no clue. Caravan insurance, that's not me. Home and contents, OK, I think that's what we were looking at, so, what this sort of project is looking at, so. Seems like there's a good discount there. AMI driving test, for promotion, Uh, weather, yep, nice. Um, oh, I do like when they have, um, reviews, I just feel like. They do speak to the experience. Uh, Seems like there's quite a good backing there. That's really nice.","## **Objective**    We don't actually want you complete the request a quote form at this stage - we're interested in understanding how participants intuitively search for and navigate the AAMI website to understand the services it offers.&#x20;    ## Scenario&#x20;    Assume you're now back to looking for home and contents insurance, show us how you would navigate to find information about home and contents insurance?&#x20;    From there, show us how you would navigate information to answer the key questions on your mind. Is it clear and simple to understand what AAMI offers?&#x20;    **\*\*Please show us to the point where you would generate a quote on the cover that you're curious about but don't actually commence this form.**&#x20;",yes,"Participant did not understand the term ""third party"" insurance and skipped past it without engaging further.","Participant scanned menu items, paused at third party car and motorcycle insurance, then moved on to locate home and contents insurance successfully.",What's third party? I have no clue.,aligned,F1,S6,E2,L1,"Participant explicitly stated they did not understand the term ""third party"" insurance but immediately moved on and located the target product without disruption. The remainder of the window contains positive feedback on reviews and discounts. Matches L1: minor friction, task completed without interruption.",,rich,good,none,medium,Majority of window is positive feedback; F1 signal is brief and did not block task progress.,R8
giuliaclemente26_uq_w050,the-university-of-queensland,giuliaclemente26_uq,Managing Profile and Security Settings,"All right, now. Translate. So Google Authenticator. So I need to install something which is already a pain, but OK. Scan the QR code. And then insert. OK. Otherwise, he inserted this. OK, how, sorry, um, my, I come from a very direct culture. How is a person going to input something like this and remember where they were? Oh my God, OK, I hope I already have Google Authenticator for other reasons. Let me see. Authenticator.","### Objective    This task evaluates how easy it is for logged-in users to locate security settings within their profile and enrol in Multi-Factor Authentication. It explores clarity, usability, accessibility and user understanding of MFA within the enrolment portal.    ### Real-World User Scenario    You recently heard that one of the online services you use experienced a data breach. Cyber Security is now top of mind for you. As a result, you have decided to strengthen your security across every digital service you use.&#x20;    You are now logged into your UQ student account and want to enable Multi-Factor Authentication to better protect your information.    Record your screen and talk through your experience.    ### Before you begin:    * In your own words, explain what Multi-Factor Authentication means to you.  * What is your preferred type of MFA, if any? For example, an authenticator app, SMS, email, push notification or something else.&#x20;  * If you use an authenticator app, which one and why do you prefer it?    ### Then:    * Try to find where you would enrol in MFA from the logged-in student application dashboard. Is it easy to locate security or profile settings?  * Attempt to enrol in MFA. Can you do it successfully?  * Is the process clear and easy to follow? Explain any confusion, friction or accessibility barriers you experience.  * Explain what works well or suggest how the experience could be improved and explain why those changes would help.",yes,"Participant found the MFA enrolment process overly complex, requiring app installation, QR code scanning, and code entry, and questioned how ordinary users would manage it.","Participant read through the MFA steps, paused repeatedly, and began checking whether they already had Google Authenticator installed rather than proceeding with installation.",I need to install something which is already a pain. How is a person going to input something like this and remember where they were?,aligned,F7,S4,E4,L3,"Participant explicitly identified the multi-step MFA process as excessive effort, requiring app installation before even reaching the QR scan step. Strong verbal frustration (""already a pain"", ""Oh my God"") aligns with observed hesitation and avoidance behaviour. Task not abandoned but participant is struggling. Matches L3: significant friction, frustration expressed, task still in progress.",,rich,good,none,high,,R8
reneerussell99_uq_w009,the-university-of-queensland,reneerussell99_uq,Commence Enrolment - Register an Account,"You know, I'll press the register button and see what happens. OK, please answer the question citizenship status. I didn't see that, um. Let me just have another look back through. Oh, that's interesting, it's right up the top. OK, I was expecting that to be, um, where it's asking like, are you an Australian citizen, do you intend to apply for a student visa, OK, let me um. Let me answer this. Now I'll try and register again.","### Objective    This task evaluates how easy it is for prospective postgraduate students to create an account, which is a required step before starting an application.    It explores whether participants can clearly understand what is required, access and interpret key information such as terms and conditions, and navigate the account creation process in an accessible and intuitive way.    ### Note    You will be interacting with a realistic version of the UQ account creation experience. It mirrors the real enrolment process, but it is a safe test environment created for research purposes.    Please use made up details when completing the form. Do not use your real name, email address or personal information.    This task finishes once you reach the screen that allows you to search for programs. The focus is only on account creation.    ### Real-World User Scenario    You have decided to enrol in a Master of Business at UQ. To begin the application process, you must first create an account.    Record your screen and talk through your experience after clicking the link below. You will need to commence this task by **Registering an Account**    * â€?Share your first impressions of the page. Is it clear what you need to do?    â€?Select a section of the terms and conditions as if you were genuinely considering reading them. Are they clear and easy to understand, or overwhelming? How could they be improved?    â€?Complete the account creation form using made up details.    â€?Explain whether the form is easy to understand and interact with. Highlight anything confusing, unclear or difficult to use.",yes,"Participant missed the citizenship status field on first submission because it was positioned at the top of the form where they did not expect it, requiring them to scroll back and resubmit.","Participant clicked Register, received a validation error, scrolled back to the top of the form to locate the missed field, then re-answered and attempted to register again.","I didn't see that. It's right up the top. I was expecting that to be where it's asking like, are you an Australian citizen.",aligned,F2,S5,E3,L2,"Participant understood the form overall but did not anticipate the citizenship field position at the top, causing a failed submission and a correction loop. Stated signal confirms the issue was positional expectation, not comprehension of the field meaning. Tone remains calm throughout. Matches L2: non-optimal path with one failed attempt, task recovered without abandonment.",,adequate,good,none,high,,R8
ghum_wa_w029,department-of-premier-and-cabinet-wa,ghum_wa,Fact Sheet (PDF),"Um, and so there's some guidance on how to interact with the person. Who you're concerned about. We must, we must, room share toolbar, window, system dialogue, record to this computer. Safari, Safari, HTTPS College. Um, this might be quite a quick task, um, empty group. So I've clicked on the file, the, um, the PDF. Page one containing. And Empty group, page one containing in page one containing content page one containing empty group. Page one containing empty group. Page one containing page one containing out of my content, close button, page one containing. So. It's not the sort of file I would keep, um. Yeah, I've got no access to the the content in here at all. Uh, it might be something I could use an app on my phone to try and do some OCR. Um. Uh Let's see, Phil.","### **Objective**    Downloadable resources often donâ€™t maintain accessibility in a way thatâ€™s consistent with the homepage. This task aims to evaluate the usability, clarity, and accessibility of the WA Governmentâ€™s downloadable fact sheet on coercive control. Participants will assess whether the PDF effectively explains coercive control, provides practical guidance on how to help someone, and is accessible and usable for people with diverse abilities, literacy levels, and assistive technologies. The task will surface opportunities to improve content clarity, document structure, accessibility compliance, and overall usefulness.    ### Task&#x20;    Open and review the following fact sheet available via the website. Please read through the document from beginning to end.    As you review it, talk through your thoughts and reactions. Please comment on:    * Whether it is clear who the fact sheet is for and what it aims to help people do  * Whether it clearly explains what coercive control is and how to help someone  * Anything that feels confusing, unclear, or difficult to understand  * Please also describe whether you would save or share this document in a real situation    If you use accessibility tools (such as screen readers, zoom, or keyboard navigation), please comment on how well the document works with them.",yes,"Participant using a screen reader could not access any content in the PDF fact sheet, receiving only repetitive empty group labels with no meaningful content announced.","Screen reader output consisted entirely of repeated ""empty group, page one containing"" announcements with no actual document content read aloud. Participant considered using a phone OCR app as a workaround.",I've got no access to the content in here at all.,aligned,F3,S2,E4,L4,"Participant's screen reader returned only structural noise with no readable content from the PDF, constituting a complete accessibility failure for this task component. Participant explicitly confirmed total loss of access and began considering an external OCR workaround, indicating near-abandonment. Matches L4: severe friction with near-abandonment. S2 rather than S1 because the overall session outcome may still be achievable via workaround, but this task component is fully blocked.",Participant is a screen reader user. PDF inaccessibility is structurally amplifying for this cohort â€?a sighted user would have full access to the same document with no friction. The barrier is entirely cohort-specific.,adequate,acceptable,none,high,"Classic PDF accessibility failure â€?no alt text, no tagged structure readable by screen reader. Strong candidate for Step 8.3 case study.",R8
marychaunguyen_suncorp_w011,suncorp-insurance,marychaunguyen_suncorp,AAMI Website,"It can be more simple I guess for a homepage, simpler, um, maybe just listing main, um, insurance policies, like for example, home, car, business, etc. and then have all the drop-downs, there's just so much to go through, for someone who's doing, who's using a um voiceover, there's a lot to listen to, to go to where I need to get to, I guess, as a first time user, um, I guess if I went through headings it'd be it'd be different. Um, I can scroll through it quicker, I guess, um, but because I'm using, I'm just, I'm just going line by line at the moment here, that's just my feel at the moment if I'm if I'm reading it from top to bottom. Um, there's a couple of things that were a bit confusing, the scroll left, scroll or right, I don't know what that's used for. I pressed it, but nothing really happened, I don't know. I don't know what that's for, so that was a bit confusing there. Yeah, there's a lot of information, um, great that there's a lot of deals and stuff like that, which is great, maybe, you know, um, save, maybe have a banner at the top or something that's to say, yeah, you can save from $25 you know, if you go into whatever policies instead of having it listed out, um, each and every one on the main homepage. Um, other than that, yeah, it, to me, the feel is, there's a lot there.","### **Objective**    This task aims to evaluate how clearly the AAMIÂ  homepage communicates the organisationâ€™s role, purpose, and value to users seeking information about home insurance. Participants will assess whether the homepage helps them understand what AAMI does, who it serves, and where to go next. The task will also surface accessibility, usability, and design factors that affect how easily users can interpret and navigate key content areas.    ## Instructions&#x20;    Take your time with this one...from top to bottom, go through the AAMI website narrating your thoughts.&#x20;    What information are you drawn to and why?    Is there anything that is confusing or that you don't understand? point it out.    How could it be improved?",yes,"Participant using VoiceOver had to navigate the homepage line by line due to the volume of content, making it significantly more effortful than heading-based navigation would allow.","Participant described moving through the page line by line rather than by headings, indicating the page structure did not support efficient AT navigation.","For someone using voiceover, there's a lot to listen to. I'm just going line by line at the moment.",aligned,F3,S4,E3,L3,"Participant explicitly identified the homepage as burdensome for VoiceOver users due to content density and lack of efficient heading structure. Line-by-line navigation confirms the AT experience is significantly degraded compared to sighted browsing. Tone is analytical rather than distressed. Matches L3: significant friction requiring sustained effort, task not abandoned.",Participant is a VoiceOver user. Dense homepage content with insufficient heading structure is structurally amplifying for screen reader users who cannot visually skim â€?sighted users can scan the same page in seconds.,rich,good,none,high,Window contains two findings â€?see Finding 2 for F4 scroll control issue.,R8
giuliaclemente26_uq_w004,the-university-of-queensland,giuliaclemente26_uq,Discovering Information on Postgraduate Courses Available ,"So Which one is this? Uh, it's leave me alone. OK, the thing that really bothers me is when They try and have you download things or input things that you haven't even had the time to look at the landing page, like, Get off my back, um. OK, so. This website at a glance looks. Can I say dodgy? Dodgy to me in the sense where it seems to me those online courses from providers that give, heaps of different courses, kind of boot camps, um, And there are not really.","### Objective    This task aims to understand how prospective students begin their journey when considering further, postgraduate studies. It explores the pathways users follow, the key questions they want to answer, and their ability to locate information on trustworthy university programs    ### Real-World User Scenario    Consider a subject or topic that interests you and imagine youâ€™re motivated to study a single university course or degree related to this interest topic of yours. Youâ€™re specifically interested in undertaking study at a universityÂ within Australia rather than a TAFE or broader certification program.    1. Describe what you would want to know before you enrol in a university degree or single university course?  2. Talk through the search terms or phrases you would use to find information on universities, in Australia that offer courses and programs related to your preferred topic of study  3. Record your screen and describe how you would begin your search for information to determine which university is right for you.  4. Based on your search results, which websites or results stand out to you and why?  5. Share your first impressions of the results and whether any specific university webpages capture your attention",yes,"Participant was interrupted by download or input prompts before having time to review the landing page, and questioned the legitimacy of the website.","Participant encountered unsolicited prompts on a search result landing page before engaging with its content, then assessed the site as resembling a bootcamp provider rather than a legitimate university.",The thing that really bothers me is when they try and have you download things or input things that you haven't even had the time to look at the landing page. Get off my back.,aligned,F5,S5,E4,L2,"Participant encountered unexpected prompts before being able to review the page, matching F5 definition. Strong verbal frustration confirms negative emotional response. Secondary F2 signal present but dominant trigger is unexpected interruption behaviour. Matches L2: hesitation and non-optimal path, task not abandoned.",,rich,good,none,medium,Secondary F2 signal: participant questioned site legitimacy. Primary label F5 based on unexpected prompt behaviour.,R8
margieflint_suncorp_w007,suncorp-insurance,margieflint_suncorp,Discovering insurance providers,"Mhm. Virgin money wouldn't touch that. ING wouldn't touch that, don't know what that is. And then I still don't see NRMA on there, which is interesting. So that obviously didn't make the cheap list. OK. So that's, that's a pretty good website to find out. I guess it depends on what you're looking for in it of course. Um, so it's still back to the original Google page and I'm onto the second page of Google now and again, Honey Insurance is up again on the top. So they're pretty good at pushing there, and I don't know if I trust them. I've never heard of them. Um. Amy's home and contents are $50 off again. I select, well that's one of those comparison things. More compare, a lot of compares on this without having a lot of those um major insurance companies showing.","### **Objective**    This task aims to understand how prospective customers begin their journey when exploring a new insurance provider. It explores the pathways users follow, the key questions they want to answer, and their ability to locate trustworthy insurance providers.Â     ### **Real-World User Scenario**    Imagine you have just purchased your first home. Youâ€™re now looking to explore home and contents insurance options.Â     * Describe what you would want to know about home insuranceÂ   * Share your screen and start your search talk through the search terms or phrases you would use online to find information.  * Describe which websites or results stand out to you and why.  * Share your first impressions of the results and whether any specific Insurance webpages appear trustworthy or capture your attention",yes,Participant could not locate trusted major insurance providers in search results and was uncertain whether unfamiliar brands like Honey Insurance were trustworthy.,"Participant scrolled to the second page of Google results, noted the absence of NRMA, and observed that results were dominated by comparison sites rather than direct insurance providers.",I don't know if I trust them. I've never heard of them. I still don't see NRMA on there.,aligned,F2,S5,E3,L2,Participant understood what they were looking for but felt uncertain about the trustworthiness of unfamiliar providers appearing in results and could not locate expected major brands. This matches F2 confidence friction: user understands the task but is unsure whether to proceed with the available options. Tone is analytical and calm throughout. Matches L2: hesitation and non-optimal path without abandonment.,,adequate,good,none,high,,R8
