video_id,tester,project,windows,duration_s,l1_total,l1_duration_anomaly,l2_coverage,l3_findings,top_severity,narration,recording,tier,reason,coach_recs
allenabegum123__web-health-information-bupa,allenabegum123,web-health-information-bupa,67,4654,0,False,0.0,26,S3,rich,acceptable,acceptable,multiple medium-severity findings,3
chiomaenenmoh__web-health-information-bupa,chiomaenenmoh,web-health-information-bupa,97,6298,0,False,0.0,47,S3,rich,good,acceptable,multiple medium-severity findings,2
daniellepaigejones07__web-health-information-bupa,daniellepaigejones07,web-health-information-bupa,78,5550,0,False,0.0,59,S3,rich,good,acceptable,multiple medium-severity findings,2
deanmills1987__web-health-information-bupa,deanmills1987,web-health-information-bupa,71,5009,0,False,0.0,36,S1,rich,acceptable,poor,task-blocking friction: S1/S2 present,3
dsouza_annabelle__web-health-information-bupa,dsouza_annabelle,web-health-information-bupa,55,3570,0,False,0.0,20,S3,rich,good,acceptable,multiple medium-severity findings,2
gameoverdan__web-health-information-bupa,gameoverdan,web-health-information-bupa,60,3955,0,False,0.0,39,S1,rich,good,poor,task-blocking friction: S1/S2 present,2
ghum__web-health-information-bupa,ghum,web-health-information-bupa,61,4200,0,False,0.0,49,S3,rich,acceptable,acceptable,multiple medium-severity findings,3
giuliaclemente26__web-health-information-bupa,giuliaclemente26,web-health-information-bupa,42,2737,0,False,0.0,44,S3,rich,acceptable,acceptable,multiple medium-severity findings,2
gracieha22__web-health-information-bupa,gracieha22,web-health-information-bupa,25,1613,0,False,0.0,13,S4,rich,acceptable,acceptable,multiple medium-severity findings,2
iakhtar1__web-health-information-bupa,iakhtar1,web-health-information-bupa,76,5423,0,False,0.0,78,S2,rich,acceptable,poor,task-blocking friction: S1/S2 present,3
jadesharp92__web-health-information-bupa,jadesharp92,web-health-information-bupa,59,4272,0,False,0.0,26,S2,rich,good,poor,task-blocking friction: S1/S2 present,2
laurenrosemetzler__web-health-information-bupa,laurenrosemetzler,web-health-information-bupa,61,4194,0,False,0.0,25,S3,rich,good,acceptable,multiple medium-severity findings,2
lindarcole__web-health-information-bupa,lindarcole,web-health-information-bupa,40,2727,0,False,0.0,53,S3,rich,good,acceptable,multiple medium-severity findings,2
lydia_2222__web-health-information-bupa,lydia_2222,web-health-information-bupa,45,2958,0,False,0.0,28,S3,rich,acceptable,acceptable,multiple medium-severity findings,3
manyi_tan__web-health-information-bupa,manyi_tan,web-health-information-bupa,6,692,0,False,0.0,2,S5,adequate,acceptable,acceptable,acceptable recording with some findings,2
margieflint__web-health-information-bupa,margieflint,web-health-information-bupa,72,4710,0,False,0.0,67,S3,rich,good,acceptable,multiple medium-severity findings,2
matthew_mayston__web-health-information-bupa,matthew_mayston,web-health-information-bupa,35,2371,0,False,0.0,36,S4,rich,acceptable,acceptable,multiple medium-severity findings,2
olekwane__web-health-information-bupa,olekwane,web-health-information-bupa,97,6469,0,False,0.0,82,S1,rich,good,poor,task-blocking friction: S1/S2 present,2
ripabegum__web-health-information-bupa,ripabegum,web-health-information-bupa,24,1553,0,False,0.0,19,S2,rich,acceptable,poor,task-blocking friction: S1/S2 present,3
sharelinsonny__web-health-information-bupa,sharelinsonny,web-health-information-bupa,82,5493,0,False,0.0,46,S1,rich,acceptable,poor,task-blocking friction: S1/S2 present,3
terryaflint17__web-health-information-bupa,terryaflint17,web-health-information-bupa,99,6392,0,False,0.0,18,S4,rich,acceptable,acceptable,multiple medium-severity findings,3
