Order,Title,Instructions,Tips,Timeguide,TaskType,ExcludeFromCollation,RequiresPII,TaskURL
"8","Navigating information on financial hardship","You've recently lost your job so, unfortunately you financial situation has recently changed. Money is tight and you’re worried about upcoming payments or possible fees.    You want to understand whether your insurer offers any help or flexibility if you’re struggling to pay. For example what fees might apply if a payment is late or missed  and what support options are available to you    You’d prefer to sort this out yourself online if possible, but you also want to know what other support is available if you need it.    Show us how you would look for information or support in this situation. As you go, share your thoughts out loud so we can understand what feels clear, reassuring, confusing, or frustrating.","Before you start navigating, briefly say out loud the questions you would have if you were in this situation. For example, what you’re worried about, what you want to understand, or what would help you feel reassured.  Then show us where you would go on the AAMI website to try to find those answers, explaining why you chose that path.","15 mins max","WEB","false","false","https://www.aami.com.au/contact/help-and-support/financial-hardship-policy"
"11","Thanks for listening AAMI","the AAMI Website Team has made a genuine effort to share updates and improve their online services, but it’s only through hearing directly from diverse users that they can truly understand how accessible and inclusive those services are. Your feedback plays an important role in shaping that understanding.    Regardless of any challenges or opportunities for improvement you identified, AAMI should be recognised for co-designing their online services with people from diverse and disabled communities.    In less than a minute, we’d love you to record or share a short personal message for the AAMI team.&#x20;","THis is optional, but a brief - hey, thanks for listening to my feedback is perfect","30 seconds or less","","true","false",""
"6","Starting a Home and Contents Insurance Quote","Do not commence the quote process for this task - we're interested in your navigation path not the quote form.&#x20;        Imagine you have just landed on the AAMI homepage and want to get a quote for **home and contents insurance**.    We’re interested in where you would go and why — not in completing the quote itself.    ### What to do      Starting from the AAMI homepage, show us how you would begin getting a quote for home and contents insurance.  Navigate the site as you normally would until you reach the point where you believe the quote process clearly starts.","As you go, please comment on What caught your attention first on the homepage. Why you chose the path you did to start a quote. Anything that felt clear, confusing, or unexpected along the way.","10 mins max ","BRD","false","false","https://www.aami.com.au/"
"2","AAMI Website","### **Objective**    This task aims to evaluate how clearly the AAMI  homepage communicates the organisation’s role, purpose, and value to users seeking information about home insurance. Participants will assess whether the homepage helps them understand what AAMI does, who it serves, and where to go next. The task will also surface accessibility, usability, and design factors that affect how easily users can interpret and navigate key content areas.    ## Instructions&#x20;    Take your time with this one...from top to bottom, go through the AAMI website narrating your thoughts.&#x20;    What information are you drawn to and why?    Is there anything that is confusing or that you don't understand? point it out.    How could it be improved?","work from top to bottom, what stands out, why? What looks odd?","10 mins","WEB;HOM;MNU","false","false","https://www.aami.com.au/"
"4","Navigation of sub-landing page- Product Information","This task aims to evaluate the usability, clarity, and accessibility of the **sub-landing page dedicated to home insurance products.**     We'd like you to deep dive into the home and contents insurance product page&#x20;    * Work through the information and advise what is included as default, as well as explaining what you understand to be excluded?  * You've got a clumsy child and have previously lived through a natural disaster. Explain what sort if coverage you'd be interested in clarifying what's included or how to include based on the information available","We want to know if it's easy for you to interpret key information you'd want to know to inform a decision on value for money. ","10 mins max ","SRH;WEB;HOM","false","false","https://www.aami.com.au/home-insurance/building-and-contents"
"9","Navigating Frequently Asked Questions","Imagine you have an active insurance policy with AAMI and you’ve just realised you missed a payment.    You’re not sure why it happened. It could have been a failed direct debit, a card expiry, or simply something you overlooked. You’re now worried about    * whether your policy is still active  * whether you’ll be charged a fee or penalty  * and what you need to do next to fix the situation    You’d prefer to sort this out online if possible, without having to call the contact centre.    Are you easily able to understand what happens after a missed payment and what steps you should take. If you have further questions, show us where you'd go on the website to have them answered.&#x20;    As you go, please talk through what you’re thinking, what you expect to find, and whether the information feels clear and reassuring.","This task helps us understand how easy it is for customers to find answers and resolve issues themselves using the website, such as through FAQs or help content. Is it easy to find the answers to these questions? ","15mjins","BRD","false","false","https://www.aami.com.au/manual-payments"
"5","PDFs and Understanding Terms","Imagine you are considering taking out home building insurance and want to read the Product Disclosure Statement before deciding.    Your task is to find the Product Disclosure Statement for **AAMI Home Building Insurance** and share feedback on what it is like to read and understand.    ### What to do      Go to the AAMI website and find the Product Disclosure Statement for AAMI Home Building Insurance.  Open or download the document.  Spend a few minutes reading it as you normally would.  Share your thoughts out loud as you go.","This task aims to assess how easily users can locate, download, and comprehend product disclosure statements. The focus is on accessibility, usability, and inclusiveness — identifying whether all users can confidently find,  access and read key information regardless of device, ability, or assistive technology.","15 mins","TCA","false","false","https://www.aami.com.au/"
"10","Finding Answers","Imagine you’re on the AAMI website because you have a general question about your insurance. It’s not urgent, but you want to find a clear answer as quickly and easily as possible.    We’d like you to show how you would try to find the answer using three different approaches    * first by navigating the website menus  * then by using the search function and&#x20;  * finally by using the live chat feature    Starting from the AAMI website, show us how you would look for an answer using each of these paths. As you go, talk through what you expect to find, why you choose certain options, and what helps or gets in the way of understanding. When using live chat, please explain what prompted you to try it and how helpful it feels.","Ask your question via menus and navigation, the search box and live chat. How easy is it to use?","10 mins","SRH","false","false","https://www.aami.com.au/"
"1","Discovering insurance providers","### **Objective**    This task aims to understand how prospective customers begin their journey when exploring a new insurance provider. It explores the pathways users follow, the key questions they want to answer, and their ability to locate trustworthy insurance providers.     ### **Real-World User Scenario**    Imagine you have just purchased your first home. You’re now looking to explore home and contents insurance options.     * Describe what you would want to know about home insurance   * Share your screen and start your search talk through the search terms or phrases you would use online to find information.  * Describe which websites or results stand out to you and why.  * Share your first impressions of the results and whether any specific Insurance webpages appear trustworthy or capture your attention","This is right at the start of you having a need - where would you begin your discovery?","10 mins max","SRH","false","false",""
"3","Navigating AAMI’s Insurance Service Offering","## **Objective**    We don't actually want you complete the request a quote form at this stage - we're interested in understanding how participants intuitively search for and navigate the AAMI website to understand the services it offers.&#x20;    ## Scenario&#x20;    Assume you're now back to looking for home and contents insurance, show us how you would navigate to find information about home and contents insurance?&#x20;    From there, show us how you would navigate information to answer the key questions on your mind. Is it clear and simple to understand what AAMI offers?&#x20;    **\*\*Please show us to the point where you would generate a quote on the cover that you're curious about but don't actually commence this form.**&#x20;","We want to know how prospective customers navigate the AAMI website to find information you're looking for. We're trying to assess whether search terms and navigation cues prospective customers to accurate, relevant, and trustworthy results about insurance options available","10 mins","NAV;SRH","false","false","https://www.aami.com.au/"
