segment_id,transcript,video_filename,tester_name
0,"Firsthand insights for those who rely on accessible technology, curated for designers and developers",project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
1,"OK, task one, what is coercive control, um, yeah, I haven't got a really clear sense of what the word means, but I would",project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
2,"Assume or in this context that it's, you know, about Giving or taking, uh, depending on which side you're coming from, um",project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
3,Your That's very cute,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
4,"Something that would happen in a in a partnership where one person, for example, um, undermines the other one, doesn't give them any autonomy at all, like wants to be in control of what they do all day every day, um",project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
5,"No, nothing, you know, if you don't have anything private to yourself, um, because your partner always wants to check your phone or whatever, uh hm",project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
6,"Sort of gaslighting maybe would fall into that as well, um, undermining their confidence, making them",project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
7,"You know, feeling as though, sorry, I keep swapping from one side to the other, but feeling as though, you know, you're really dependent on the person and you've got no worth outside of the relationship or whatever",project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
8,"Um, not giving anyone any, any personal space, um, I think would all fall into the, the term",project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
9,"Coercive control, whether it's to do with violence or not, um, the physical violence, I think it, to me it's more about emotional control I would have thought, but I wouldn't, you know, certainly wouldn't be the threat of physical violence, um",project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
10,I think it necessarily means that though,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
11,"Um, but I, I don't know that it rules it out either",project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
12,"Like I guess maybe there's a separate term for that, um, yeah",project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
13,"Um, let me just How confident I feel about my understanding of the term, yeah, not, not extremely confident, not confident at all as I as I started this with, um, and yeah, those are the sorts of behaviors I think would fall under coercive control",project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
14,"Recorded his computer, safari, safari",project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
15,"So task two, so worrying situation with some neighbors, uh, who've recently moved into the street, I would probably, Search for something like expended",project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
16,"Uh, yes",project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
17,"Oh yes, signs of",project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
18,Yeah,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
19,"Signs up to me in dialogue, alert, Remember my decision",project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
20,"Go, don't allow, batch, allow, bat, don't allow batching",project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
21,I won't give it access,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
22,"Allow, don't allow bain",project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
23,"Signs of domestic violence, search list this because I'm not in WA at the moment",project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
24,"Filters and topics, heading level help is available, Heading level 2",project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
25,"Main, help is available",project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
26,Speak with someone today,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
27,"1800 respect, heading level two",project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
28,"So yeah, something like signs of domestic violence, um",project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
29,"Although the, you know, what has been displayed in the street is, Um, you know, there's no",project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
30,"Haven't seen bruises or anything like that, however, I think the behaviors all sort of lead you to feel though as though that could be happening in the background",project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
31,"And even aside from that happening in the back, you know, in not the background but you know, behind closed doors, there may not be signs of physical violence, but even without there being any physical violence, there's still, You know, enough worrying things to, Make me search for domestic violence, um, you know, the fact that, She can't go shopping, she doesn't have access to her own phone, it's all, yeah, extremely worrying kinds of things",project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
32,Now um,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
33,Hours available 24 hours a day,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
34,"I just looked through some of the results I got from 1800 respect, heading level two",project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
35,Speak with someone today,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
36,Help is available,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
37,Heading,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
38,Help is available,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
39,"Heading level two, speak with someone today",project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
40,"1800 respect, heading level two",project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
41,"Hours available 24 hours a day, 7 days a week",project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
42,"1800 respect, call 1-800-731800 respect",project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
43,"Text 045873 1800 respect, chat",project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
44,OK,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
45,"1800 respect, official website horizontal splitter",project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
