window_id,project,video_id,video_filename,tester_name,start_time,end_time,duration,text,initial_observation,possible_friction_type,possible_sentiment,possible_narration_type,primary_evidence,notes
tharayil_wa_w024,department-of-premier-and-cabinet-wa,tharayil_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_manoj_tharayil.mp4,tharayil,1603.14,1664.339,61.199,"I was expecting, the question was, what, what was I expecting? So I was expecting a section in the website where it is uh coercive control is explained in more simpler terms to people with low literacy. Um, and stuff a PDF. OK. I think the next section is about. Uh, looking at the fact sheet. And what it aims and helps people to do, whether it explains what coercive control is, anything that feels confusing or unclear. So, so when I go here, Open a new tab And then when you click on here. Open that one. I think this is quite good. Or you you control how to help someone.","Tester expected simpler coercive control explanations for low literacy users, while also finding the linked fact sheet generally useful.",F1 Comprehension Friction,mixed,feedback_evaluation,"""explained in more simpler terms to people with low literacy""",Readability and plain-language accessibility concern; positive comment about the fact sheet is secondary.
giuliaclemente26_uq_w040,the-university-of-queensland,giuliaclemente26_uq,project_8aeb4cdb-106f-47c1-b6e6-867344ce673b_giuliaclemente26.mp4,giuliaclemente26,2826.05,2891.81,65.76,"Everything else looked good. OK, so I'm gonna have a look at the uploading of documents. I already did it. But just let me see if there is anything. If you see me very concentrated, it's because I'm looking for a bottle and I can't find it, so. Um, I wanna share my screen, which is not working. Why? She, OK. OK, so let's see this. I don't remember anything difficult in uploading a document.","Tester reports that document upload was not difficult, with a brief off-task/technical aside about screen sharing.",none No observed friction,mixed,task_response,"""I don't remember anything difficult in uploading a document""",No clear website friction in the target task; screen-sharing issue appears external to the UQ flow.
fjone7_suncorp_w041,suncorp-insurance,fjone7_suncorp,project_73052603-e4d8-4aed-a9ce-cc5db15e6355_fjone7.mp4,fjone7,2914.36,2981.32,66.96,"Uh, just not even like in in this scenario it might say a clumsy child, but literally just anybody who accidentally damages contents, um, the accidental damage cover would go really well with that. If you drop, knock over, or otherwise accidentally damage your contents can assist with repair or replacement and then you would click that link to explore more. Um, and then if you really wanted, you can get excess free glass cover for your skylights, showers, home assist, ah, plumber, electricians, in the event of a home emergency complete replacement cover, extra cover portable. OK, so the only cover that would be relevant for my scenario here would be the accidental damage cover, but what I'm gonna do is really quickly check um what is not covered by home and contents insurance. Wear tear and deterioration.",Tester identifies accidental damage cover as the relevant insurance option and continues checking exclusions.,none No observed friction,neutral,task_response,"""the only cover that would be relevant for my scenario here would be the accidental damage cover""",Successful interpretation of product information; no explicit friction in this window.
oliviamitchell22_suncorp_w017,suncorp-insurance,oliviamitchell22_suncorp,project_73052603-e4d8-4aed-a9ce-cc5db15e6355_oliviamitchell22.mp4,oliviamitchell22,1138.16,1202.52,64.36,"Amy app or web chat. Information on all that's cool, that's what I would wanna know, be ready for weather events, flood, storm, cyclone, bushfire, hail, earthquake, uh your claim process, OK, that's good to know, so you check your policy, you take photos, and you gather supporting documents, And they've, what type of support, so you've got emergency support with. Accommodation. Support. OK, and then frequently asked questions. This seems like an all-encompassing page, which is great, it's got information on like, sort of like preventative stuff but also like, active support as well as how to make a claim, support services which is always good, you need to be able to direct people to the other services available,",Tester positively evaluates the claims/weather support page as broad and useful.,none No observed friction,positive,feedback_evaluation,"""This seems like an all-encompassing page, which is great""",Positive feedback on information coverage and support pathways.
terryaflint17_suncorp_w010,suncorp-insurance,terryaflint17_suncorp,project_73052603-e4d8-4aed-a9ce-cc5db15e6355_terryaflint17.mp4,terryaflint17,654.479,716.609,62.13,"Uh I said boom. How do you get a quote in 3 minutes? Yeah, show us now. CGU You know I I mean, 15, John go. Mm Budget, let's say 30%. That one Depending on the price. So 275 online, firestorms, they've covered adjustment low premiums. OK I to direct stand out a bit. Yeah, so I don't think I can do much more than say that there's a hell of a lot of. Insurance companies to look at.",Tester appears overwhelmed by quote/comparison options and many insurance companies to consider.,F7 Excessive Effort,mixed,navigation,"""there's a hell of a lot of insurance companies to look at""",Suggests information overload or comparison complexity rather than a hard blocker.
reececraigie_uq_w009,the-university-of-queensland,reececraigie_uq,project_8aeb4cdb-106f-47c1-b6e6-867344ce673b_reececraigie.mp4,reececraigie,607.14,671.849,64.709,"That, that's what I want to say. Now, with that being said, I'm gonna close off, uh, task one. Thank you. Hello team, it's Reece Craigie here, kicking off task two, UQ website navigation, and I'm the Aboriginal consultant for Semilice. Um, so I understand that I have to go to the, excuse me, UQ homepage. And look at the prospective uh supports for postgraduate students. Um, OK, how I can look at values, navigate relevant information about a Master of Business cos I'm a postgraduate, and finances, OK. Look at usability, accessibility, design factors. Um, as well, and how easily participants can interpret, navigate, and trust key content areas, OK. So I finished my undergraduate business degree a few years ago. I'm interested in, uh, doing postgraduate studies, and I wanna do a Master of Business, OK.",Tester is starting a new UQ navigation task and restating the task goals and scenario.,none No observed friction,neutral,task_response,"""I understand that I have to go to the UQ homepage""",Mostly task setup and orientation; no site issue yet.
margieflint_suncorp_w007,suncorp-insurance,margieflint_suncorp,project_73052603-e4d8-4aed-a9ce-cc5db15e6355_margieflint.mp4,margieflint,504.5,564.669,60.169,"Mhm. Virgin money wouldn't touch that. ING wouldn't touch that, don't know what that is. And then I still don't see NRMA on there, which is interesting. So that obviously didn't make the cheap list. OK. So that's, that's a pretty good website to find out. I guess it depends on what you're looking for in it of course. Um, so it's still back to the original Google page and I'm onto the second page of Google now and again, Honey Insurance is up again on the top. So they're pretty good at pushing there, and I don't know if I trust them. I've never heard of them. Um. Amy's home and contents are $50 off again. I select, well that's one of those comparison things. More compare, a lot of compares on this without having a lot of those um major insurance companies showing.",Tester questions whether search/comparison results are trustworthy and notes expected insurers are missing.,F2 Confidence Friction,mixed,navigation,"""I don't know if I trust them""",Trust and credibility concern in search/comparison pathway; also findability concern around missing major insurers.
info_wa_w026,department-of-premier-and-cabinet-wa,info_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_info.mp4,info,1840.26,1902.369,62.109,"Heading level 2 provided by Department of Communities. Linking list 3 items. Share this page with your Facebook. OK, so. This seems like a a. Like a, um, A parent page to the coercive control page that we were looking at earlier, um. The Purpose of this page, I guess is more of a top-level look at the different kinds of um family and domestic violence that exist and, you know, gives you some links to different resources, uh depending on the situation. Um, I would say that just from seeing this, after seeing the coercive control website, Lending Page one, that there's a fair bit of repetition here, uh. And even on this page in itself, skip 2 information and support for Western Australians. Pending level 2, level 1 Lis understanding family and depending level 2, visit level 1 link coercive control. Coercive control is family and domestic violence. Find out more. Pending level 2, level 1 link my situation. So it says control control is family and domestic violence. Find family and domestic violence. Find out more. Heading level 2, level 1 link my situation. Uh, heading 2 level 1, link helplines and support services.",Tester evaluates a parent page and identifies repetition between pages and within the page itself.,F7 Excessive Effort,mixed,feedback_evaluation,"""there's a fair bit of repetition here""",Information architecture and duplication concern may affect clarity and scanning.
ramazankawish_uq_w089,the-university-of-queensland,ramazankawish_uq,project_8aeb4cdb-106f-47c1-b6e6-867344ce673b_ramazankawish.mp4,ramazankawish,6564.58,6629.669,65.089,"Uh, is it easy to read, especially for the people who have limited English, like, uh, and also, um, uh, assistive technology needed for them. So I will go to the link. I'm pretty sure it asked me to sign in again in task 6, so I was not able to sign in. Hopefully in this one it works for me. I have to make another ID and another ID and another ID. I'm not sure one ID when I'm making. That one doesn't work for the next step, so um I will go. Um Log in first, um, I do. The first idea I had. If it works. I hope it works. It worked once. If it doesn't work, I have to make another ID.",Tester anticipates sign-in problems and describes repeated ID/account creation issues.,F7 Excessive Effort,negative,thinking_aloud,"""I have to make another ID and another ID and another ID""",Authentication/account workflow appears to be a recurring blocker; accessibility and limited English are also mentioned.
thanoptions_suncorp_w029,suncorp-insurance,thanoptions_suncorp,project_73052603-e4d8-4aed-a9ce-cc5db15e6355_thanoptions.mp4,thanoptions,2390.989,2477.129,86.14,"Uh Except. Sorry But yeah, it's not playing looks good and it's about the same, so um can you look at, yeah if you could get into the video um.",Tester indicates a video is not playing or cannot be accessed.,F4 Unresponsive Interface,negative,feedback_evaluation,"""it's not playing""",Media playback/access issue; short window with limited context.
