video_id,config,tier,reason,l1_total,l3_findings,top_severity
Sharelinsonny_suncorp,Full,poor,task-blocking friction: S1/S2 present,0,27,S2
Sharelinsonny_suncorp,No-L1,poor,task-blocking friction: S1/S2 present,0,27,S2
Sharelinsonny_suncorp,No-L2,poor,task-blocking friction: S1/S2 present,0,27,S2
Sharelinsonny_suncorp,No-L3,good,no major quality concerns detected,0,0,
Sharelinsonny_uq,Full,poor,task-blocking friction: S1/S2 present,0,29,S1
Sharelinsonny_uq,No-L1,poor,task-blocking friction: S1/S2 present,0,29,S1
Sharelinsonny_uq,No-L2,poor,task-blocking friction: S1/S2 present,0,29,S1
Sharelinsonny_uq,No-L3,good,no major quality concerns detected,0,0,
Sharelinsonny_wa,Full,poor,task-blocking friction: S1/S2 present,0,40,S2
Sharelinsonny_wa,No-L1,poor,task-blocking friction: S1/S2 present,0,40,S2
Sharelinsonny_wa,No-L2,poor,task-blocking friction: S1/S2 present,0,40,S2
Sharelinsonny_wa,No-L3,good,no major quality concerns detected,0,0,
asma_suncorp,Full,poor,task-blocking friction: S1/S2 present,0,30,S2
asma_suncorp,No-L1,poor,task-blocking friction: S1/S2 present,0,30,S2
asma_suncorp,No-L2,poor,task-blocking friction: S1/S2 present,0,30,S2
asma_suncorp,No-L3,good,no major quality concerns detected,0,0,
asma_uq,Full,acceptable,multiple medium-severity findings,0,40,S3
asma_uq,No-L1,acceptable,multiple medium-severity findings,0,40,S3
asma_uq,No-L2,acceptable,multiple medium-severity findings,0,40,S3
asma_uq,No-L3,good,no major quality concerns detected,0,0,
carlpatrickrobinson_suncorp,Full,acceptable,multiple medium-severity findings,1,6,S3
carlpatrickrobinson_suncorp,No-L1,acceptable,multiple medium-severity findings,0,6,S3
carlpatrickrobinson_suncorp,No-L2,acceptable,multiple medium-severity findings,1,6,S3
carlpatrickrobinson_suncorp,No-L3,good,no major quality concerns detected,1,0,
carlpatrickrobinson_uq,Full,poor,task-blocking friction: S1/S2 present,2,8,S1
carlpatrickrobinson_uq,No-L1,poor,task-blocking friction: S1/S2 present,0,8,S1
carlpatrickrobinson_uq,No-L2,poor,task-blocking friction: S1/S2 present,2,8,S1
carlpatrickrobinson_uq,No-L3,good,no major quality concerns detected,2,0,
fjone7_suncorp,Full,poor,task-blocking friction: S1/S2 present,0,56,S2
fjone7_suncorp,No-L1,poor,task-blocking friction: S1/S2 present,0,56,S2
fjone7_suncorp,No-L2,poor,task-blocking friction: S1/S2 present,0,56,S2
fjone7_suncorp,No-L3,good,no major quality concerns detected,0,0,
fjone7_uq,Full,poor,task-blocking friction: S1/S2 present,0,60,S2
fjone7_uq,No-L1,poor,task-blocking friction: S1/S2 present,0,60,S2
fjone7_uq,No-L2,poor,task-blocking friction: S1/S2 present,0,60,S2
fjone7_uq,No-L3,good,no major quality concerns detected,0,0,
gameoverdan_suncorp,Full,poor,task-blocking friction: S1/S2 present,0,50,S2
gameoverdan_suncorp,No-L1,poor,task-blocking friction: S1/S2 present,0,50,S2
gameoverdan_suncorp,No-L2,poor,task-blocking friction: S1/S2 present,0,50,S2
gameoverdan_suncorp,No-L3,good,no major quality concerns detected,0,0,
gameoverdan_uq,Full,poor,task-blocking friction: S1/S2 present,0,52,S1
gameoverdan_uq,No-L1,poor,task-blocking friction: S1/S2 present,0,52,S1
gameoverdan_uq,No-L2,poor,task-blocking friction: S1/S2 present,0,52,S1
gameoverdan_uq,No-L3,good,no major quality concerns detected,0,0,
ghum_suncorp,Full,poor,task-blocking friction: S1/S2 present,0,76,S1
ghum_suncorp,No-L1,poor,task-blocking friction: S1/S2 present,0,76,S1
ghum_suncorp,No-L2,poor,task-blocking friction: S1/S2 present,0,76,S1
ghum_suncorp,No-L3,good,no major quality concerns detected,0,0,
ghum_uq,Full,poor,task-blocking friction: S1/S2 present,0,93,S1
ghum_uq,No-L1,poor,task-blocking friction: S1/S2 present,0,93,S1
ghum_uq,No-L2,poor,task-blocking friction: S1/S2 present,0,93,S1
ghum_uq,No-L3,good,no major quality concerns detected,0,0,
ghum_wa,Full,poor,task-blocking friction: S1/S2 present,0,61,S1
ghum_wa,No-L1,poor,task-blocking friction: S1/S2 present,0,61,S1
ghum_wa,No-L2,poor,task-blocking friction: S1/S2 present,0,61,S1
ghum_wa,No-L3,good,no major quality concerns detected,0,0,
giuliaclemente26_suncorp,Full,poor,task-blocking friction: S1/S2 present,0,27,S2
giuliaclemente26_suncorp,No-L1,poor,task-blocking friction: S1/S2 present,0,27,S2
giuliaclemente26_suncorp,No-L2,poor,task-blocking friction: S1/S2 present,0,27,S2
giuliaclemente26_suncorp,No-L3,good,no major quality concerns detected,0,0,
giuliaclemente26_uq,Full,poor,task-blocking friction: S1/S2 present,0,54,S2
giuliaclemente26_uq,No-L1,poor,task-blocking friction: S1/S2 present,0,54,S2
giuliaclemente26_uq,No-L2,poor,task-blocking friction: S1/S2 present,0,54,S2
giuliaclemente26_uq,No-L3,good,no major quality concerns detected,0,0,
giuliaclemente26_wa,Full,acceptable,multiple medium-severity findings,0,91,S3
giuliaclemente26_wa,No-L1,acceptable,multiple medium-severity findings,0,91,S3
giuliaclemente26_wa,No-L2,acceptable,multiple medium-severity findings,0,91,S3
giuliaclemente26_wa,No-L3,good,no major quality concerns detected,0,0,
gracieha22_suncorp,Full,acceptable,multiple medium-severity findings,0,15,S4
gracieha22_suncorp,No-L1,acceptable,multiple medium-severity findings,0,15,S4
gracieha22_suncorp,No-L2,acceptable,multiple medium-severity findings,0,15,S4
gracieha22_suncorp,No-L3,good,no major quality concerns detected,0,0,
gracieha22_uq,Full,acceptable,multiple medium-severity findings,0,7,S5
gracieha22_uq,No-L1,acceptable,multiple medium-severity findings,0,7,S5
gracieha22_uq,No-L2,acceptable,multiple medium-severity findings,0,7,S5
gracieha22_uq,No-L3,good,no major quality concerns detected,0,0,
gracieha22_wa,Full,acceptable,multiple medium-severity findings,0,14,S4
gracieha22_wa,No-L1,acceptable,multiple medium-severity findings,0,14,S4
gracieha22_wa,No-L2,acceptable,multiple medium-severity findings,0,14,S4
gracieha22_wa,No-L3,good,no major quality concerns detected,0,0,
info_suncorp,Full,poor,task-blocking friction: S1/S2 present,0,59,S1
info_suncorp,No-L1,poor,task-blocking friction: S1/S2 present,0,59,S1
info_suncorp,No-L2,poor,task-blocking friction: S1/S2 present,0,59,S1
info_suncorp,No-L3,good,no major quality concerns detected,0,0,
info_wa,Full,acceptable,multiple medium-severity findings,0,77,S3
info_wa,No-L1,acceptable,multiple medium-severity findings,0,77,S3
info_wa,No-L2,acceptable,multiple medium-severity findings,0,77,S3
info_wa,No-L3,good,no major quality concerns detected,0,0,
jenniferparry7_uq,Full,poor,task-blocking friction: S1/S2 present,10,9,S1
jenniferparry7_uq,No-L1,poor,task-blocking friction: S1/S2 present,0,9,S1
jenniferparry7_uq,No-L2,poor,task-blocking friction: S1/S2 present,10,9,S1
jenniferparry7_uq,No-L3,good,no major quality concerns detected,10,0,
kweslake_uq,Full,acceptable,multiple medium-severity findings,0,24,S3
kweslake_uq,No-L1,acceptable,multiple medium-severity findings,0,24,S3
