Order,Title,Instructions,Tips,Timeguide,TaskType,ExcludeFromCollation,RequiresPII,TaskURL
"1","Discovering Information on Postgraduate Courses Available ","### Objective    This task aims to understand how prospective students begin their journey when considering further, postgraduate studies. It explores the pathways users follow, the key questions they want to answer, and their ability to locate information on trustworthy university programs    ### Real-World User Scenario    Consider a subject or topic that interests you and imagine you’re motivated to study a single university course or degree related to this interest topic of yours. You’re specifically interested in undertaking study at a university within Australia rather than a TAFE or broader certification program.    1. Describe what you would want to know before you enrol in a university degree or single university course?  2. Talk through the search terms or phrases you would use to find information on universities, in Australia that offer courses and programs related to your preferred topic of study  3. Record your screen and describe how you would begin your search for information to determine which university is right for you.  4. Based on your search results, which websites or results stand out to you and why?  5. Share your first impressions of the results and whether any specific university webpages capture your attention","Please choose a broad and common area of study such as business, law or engineering. Avoid niche or highly specialised topics, as these can limit search results and make it harder to compare universities.  The purpose of this task is to understand how people begin searching for future study, how they explore different universities, and what makes certain programs or courses appealing. We are not assessing specific degrees in detail.  We also want to see how the University of Queensland appears in your search results, how it compares to other universities, and what could improve the discoverability and clarity of its courses. ","15 mins max","SRH","false","false",""
"4","Searching for the program to enrol in","### Objective    This task evaluates how easy it is for a logged-in prospective student to search for and locate the specific postgraduate program they want to begin enrolment in. It focuses on the usability, clarity and accessibility of identifying the exact course you want to commence the enrolment application for.&#x20;    ### Real-World User Scenario    You have successfully created an account and are now logged in. Your next step is to search for the specific program you want to enrol in.    You would like to enrol in Master of Business with a focus on law.    Record your screen and talk through how you search for this program within the portal.    • How do you begin your search?  • Is it easy to find the course you want to enrol in?  • Does the search function work as you expect or does it provide confusing course options?  • Are the results clear and easy to navigate?  • Did you experience any confusion or barriers? If so, explain what happened and how you tried to resolve it.","We’re interested to see how people search for courses, understand any challenges people have finding their preferred course as well as challenges navigating the search results. If you experience issues, chances are others will to. Please explain any points of confusion or problems so our customer can think about ways to improve the search process. ","15 mins max ","SRH","false","false","https://test-student-uq.studylink.com/index.cfm?event=security.showLogin&msg=eventsecured&fr=sp&en=default"
"3","Commence Enrolment - Register an Account","### Objective    This task evaluates how easy it is for prospective postgraduate students to create an account, which is a required step before starting an application.    It explores whether participants can clearly understand what is required, access and interpret key information such as terms and conditions, and navigate the account creation process in an accessible and intuitive way.    ### Note    You will be interacting with a realistic version of the UQ account creation experience. It mirrors the real enrolment process, but it is a safe test environment created for research purposes.    Please use made up details when completing the form. Do not use your real name, email address or personal information.    This task finishes once you reach the screen that allows you to search for programs. The focus is only on account creation.    ### Real-World User Scenario    You have decided to enrol in a Master of Business at UQ. To begin the application process, you must first create an account.    Record your screen and talk through your experience after clicking the link below. You will need to commence this task by **Registering an Account**    * • Share your first impressions of the page. Is it clear what you need to do?    • Select a section of the terms and conditions as if you were genuinely considering reading them. Are they clear and easy to understand, or overwhelming? How could they be improved?    • Complete the account creation form using made up details.    • Explain whether the form is easy to understand and interact with. Highlight anything confusing, unclear or difficult to use.","You can enter any information for the fields the form will work regardless of what you enter and it’s best to include entries that are made up (i.e don’t use your email address or your real name). We’re interested in understanding if every day people can understand the terms, if the sign up form is easy to use and navigate. Help prospective students by explaining how this form could be improved or what works well for you. You can be Beyoncé starting her MBA, Spider-Man studying public policy or Donald Duck from 99 Quack St. ","20 mins max ","ACC","false","true","https://test-student-uq.studylink.com/index.cfm?event=security.showLogin&msg=eventsecured&fr=sp&en=default"
"6","Upload Functionality","### Objective    This is a much shorter task focussed on interacting with the upload documents functionality    ###  Instructions    Record your screen and narrate your experience as you locate and use the document upload function.    It's important you narrate your interactions. Explain verbally:    * how easy or difficult it is to find the upload option intuitively. Is it where you expect it to be?&#x20;  * Does anything feel unclear or hidden?  * Once you locate it, upload a document and describe how easy or challenging the process feels.&#x20;  * Talk through any confusion, hesitation, or friction you experience, as well as anything that works particularly well.    If relevant, suggest how the upload experience could be improved or what worked well.      Note, the actual document you upload can be anything at all – a blank file is fine. You can also select any document type from the drop down list.","Focus your feedback on how easy it is to find and use the upload function, rather than which document type you select. We are testing the functionality and experience, not the accuracy of the document choice.  You can choose any document type from the drop down list and upload any file, even a blank one. As you go, explain what feels intuitive, what feels confusing, and why. ","5 mins max ","DOC","false","false","https://test-student-uq.studylink.com/index.cfm?event=security.showLogin&msg=eventsecured&fr=sp&en=default"
"7","Downloading & Interacting with a Resource ","### Objective    The University of Queensland enrolment portal has a number of downloadable resources, for this task we want to understand if participants can navigate the catalogue of resources with ease and if the PDF resources are easy to read, particularly if people rely on translation or assistive technologies.    ### Real-World User Scenario    Looks like you’re moving to Queensland to study! You’d like to learn more about moving to QLD as a student at UQ. Please search for any downloadable resources, under the Resources section that relate to living in Queensland    ### **Please explain:**    * If you are able to easily find a downloadable resource?  * If you can download it easily?  * When you’ve downloaded the document, are you able to read the content easily? Please show and explain any challenges interacting with the PDF document. And explain if the content helpful?","If you use assistive technology, magnification, colour inversion, screen readers, translation tools or other adaptations, please show how the PDF behaves with your setup.  As you open and read the document, demonstrate any friction you experience. For example, difficulty navigating headings, selecting text, using translation, zooming, reflowing content, or moving between sections.  Help us understand why something is hard to access, not just that it is hard. If relevant, suggest practical improvements. These could include changes to how the PDF is structured or labelled, or alternatives that still allow the university to use PDFs where required, such as providing an accessible web version alongside the downloadable file.","15 mins max","MNU","false","false","https://test-student-uq.studylink.com/index.cfm?event=security.showLogin&msg=eventsecured&fr=sp&en=default"
"10","A Short Message to the UQ Team","The UQ team has opened up their postgraduate enrolment journey for review and testing. That takes intention and a genuine willingness to improve. This task invites you to share a brief personal message with the University of Queensland team for taking the time to listen and co-design with a holistic representation of the community to improve the universal usability of their services.&#x20;    ### Instructions    This task is optional, personal and your words.&#x20;    In 10 seconds (certainly less than a minute) please record a short message for the UQ team. Keep it concise.    * A personal reflection on how it feels to have a university genuinely listen to your feedback and lived experience.  * Why you applaud UQ explaining how making enrolment more accessible helps more people participate in further education....and why that matters to you personally.  * One thing that stood out to you about the enrolment journey&#x20;","Keep it short and genuine. A simple “thank you for listening to my feedback”  is perfect. Speak from your own experience and keep your message brief ","1 min max","AFB","true","false",""
"9","Reporting an Issue as Feedback ","### Objective    This task evaluates whether prospective students can intuitively find how to report a problem or provide feedback within the enrolment portal. It explores discoverability, clarity of pathways, and how easy it is to submit feedback when something goes wrong.    ### Real-World User Scenario    There's two parts to this scenario - the first part helps us understand if prospective students can easily find how to provide feedback on the portal, whereas the second part provides the exact link to complete the feedback form in case they couldn't easily find it in part one.&#x20;    Imagine you are completing your real postgraduate application and you encounter an issue in the enrolment portal. Something does not work as expected.    You assume the digital team at UQ would want to know about this issue so they can fix it, but you need to work out how to report it.    ### 1. Record your screen and talk through what you would do next.    * From the logged in portal, show how would you try to report the issue or provide feedback?  * Where do you instinctively look first?  * What links or sections do you explore?  * Is it easy to work out how to submit feedback?  * Do you feel confident you are contacting the right team? Why or why not?    If you cannot find a clear way to submit feedback after exploring the page, continue searching for a few minutes and explain your thought process.    ### 2.  Completing the feedback form    You may or may not have found the dedicated feedback link during your initial search. The portal includes a small link labelled “Feedback” in the bottom right corner.    Did you discover this link during your search, or did you attempt to use other sections (for example contact options) to report the issue? Please explain where you went and why.    Now open the dedicated feedback form and complete it. As you do, explain how easy or difficult it is to find, understand and use    * Is the feedback form easy to complete?  * Does it feel like the right place to report a bug?  * How could it be improved, and why?","As you go, explain what you expect to see when looking for a way to report an issue. If you feel unsure, diverted, or confused, describe why.  We are interested in which areas you naturally gravitate towards, whether the feedback pathway feels obvious, and whether the final feedback experience is clear and easy to use.","15 mins","FF;SRH","false","false","https://my.uq.edu.au/feedback?r=https://www.uq.edu.au/node/2"
"8","Managing Profile and Security Settings","### Objective    This task evaluates how easy it is for logged-in users to locate security settings within their profile and enrol in Multi-Factor Authentication. It explores clarity, usability, accessibility and user understanding of MFA within the enrolment portal.    ### Real-World User Scenario    You recently heard that one of the online services you use experienced a data breach. Cyber Security is now top of mind for you. As a result, you have decided to strengthen your security across every digital service you use.&#x20;    You are now logged into your UQ student account and want to enable Multi-Factor Authentication to better protect your information.    Record your screen and talk through your experience.    ### Before you begin:    * In your own words, explain what Multi-Factor Authentication means to you.  * What is your preferred type of MFA, if any? For example, an authenticator app, SMS, email, push notification or something else.&#x20;  * If you use an authenticator app, which one and why do you prefer it?    ### Then:    * Try to find where you would enrol in MFA from the logged-in student application dashboard. Is it easy to locate security or profile settings?  * Attempt to enrol in MFA. Can you do it successfully?  * Is the process clear and easy to follow? Explain any confusion, friction or accessibility barriers you experience.  * Explain what works well or suggest how the experience could be improved and explain why those changes would help.","As you go, explain what you expect to happen at each step and whether the system behaves as expected. If something feels unclear, hidden or overly complex, describe why.  If you use assistive technology or device settings, show how the MFA process works with your setup. Clear explanations of friction help identify practical improvements that make security stronger without making it harder to use.","20 mins max","SEC","false","true","https://test-student-uq.studylink.com/index.cfm?event=security.mfa.enable.app.step2"
"5","Completing the enrolment form ","### Objective    **This task is the most important part of the user testing project as it’s the priority touchpoint that our customer is interested in feedback on**. Please take your time to work through the study application form, in detail, and make an effort to explain anything that works well or any interactions that could be improved and why.    You should complete the application form in full - right through to submission. Again, please use pretend information for the purpose of the student personal information but select genuine course options.&#x20;    ### Real-World User Scenario    You’ve found the program you’re interested in and now want to complete the enrolment application. It doesn’t really matter what course you enrol in, but if you were unable to find the ‘Master of Business’ in the last task, you can search for the specific course number provided below to find the right course.    5583    Please work through the entire enrolment form, right through to submitting an application and narrate your experience along the way:    * What works well?  * What’s confusing or frustrating and why?  * Specifically, how could any points of confusion or frustration be improved?         For the purpose of completing the enrolment form, when prompted for specific inputs please:    1. Use dummy made up data (this isn’t the actual live form and it will accept mock data like a made up name, email address and physical address)  2. Assume you’re Australian and you speak English  3. Assume you’ve completed an undergraduate degree at the University of Sydney in Business  4. You can upload a blank document when it asks.","Note – The application form has numerous steps including personal information, program (using made up information) previous study experience and additional information. Please take the time to work through all of the interactions providing detailed feedback along the way","45 mins max","FF","false","true","https://test-student-uq.studylink.com/index.cfm?event=security.showLogin&msg=eventsecured&fr=sp&en=default"
"2","UQ Website Navigation","### Objective    This task evaluates how clearly the UQ homepage and website supports prospective postgraduate students. It explores whether users can quickly understand UQ’s value, navigate to relevant information about a Master of Business, and find answers to common study-related questions.    The task will also identify usability, accessibility and design factors that influence how easily participants can interpret, navigate and trust key content areas.    ### Real-World User Scenario    Imagine you have already completed an undergraduate business degree a few years ago. You’re now interested in undertaking post-graduate studies. You specifically want to study a Masters of Business and you’re curious about undertaking this postgraduate course as a student at the University of Queensland.    You’ve just landed on the UQ homepage via the link below    1. Record your screen and explain how you would begin your search for Masters of Business programs on offer through the University of Queensland.  2. Is it easy to search and find information on a Masters of Business via UQ’s homepage? What do you like about navigating the UQ website? Please explain any points of confusion, anything that could be improved or terms that don’t make sense.  3. After you’ve searched and found information on the Masters of Business, think about a couple of questions a prospective post-grad student might have in this scenario and show how you’d try and find answers to these questions navigating their website.  4. How easy and intuitive is it to find information and navigate the website?  5. Is the content easy to understand or is there terminology used that’s confusing?  6. What’s your first impression of the website, do you like brand and tone, please explain your answer","In this scenario, think about the key questions on your mind for example you may want to know about flexible study, the program duration, the cost, the specialty topics available within a Masters of Business offered by UQ, the number of hours you’d be expected to study a week or the types of specific courses that form the Masters. We’re interested in how easy it is to find answers to common questions from prospective students. Please explain what works well and what could be improved i.e. are there terms used that you don’t quite understand, are there questions that are hard to find answers to, are there accessibility barriers accessing information?","15 mins max","HOM;WEB","false","false","https://uq.edu.au"
